Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Mode,Payment Method,Sales Representative
ORD-109045,2022-05-30,2022-06-04,CU-10351,Kevin Johnson,Consumer,United States,Oregon,Portland,West,PR-0037,Office Supplies,Paper,Printer Paper Ream,78.53,1,0.0,36.39,First Class,Debit Card,Ethan Wu
ORD-109771,2025-07-06,2025-07-07,CU-11871,Jennifer Ramirez,Corporate,United States,Oregon,Portland,West,PR-0039,Office Supplies,Binders,Report Cover Binder,91.17,1,0.1,35.82,Standard Class,Debit Card,Maria Silva
ORD-100175,2022-09-24,2022-09-25,CU-11928,Edward Thomas,Home Office,United States,Massachusetts,Boston,East,PR-0006,Technology,Computers,ProBook 15,3435.2,2,0.0,964.11,Second Class,Cash on Delivery,Grace Okafor
ORD-107620,2025-08-03,2025-08-10,CU-10786,Mary Hill,Consumer,United States,Washington,Spokane,West,PR-0020,Furniture,Chairs,MeshBack Office Chair,6113.2,7,0.1,1714.18,Second Class,PayPal,Grace Okafor
ORD-107463,2025-07-09,2025-07-10,CU-11083,Charles Martin,Consumer,United States,Tennessee,Nashville,South,PR-0029,Furniture,Bookcases,Modern Ladder Shelf,811.87,1,0.1,222.66,Standard Class,Debit Card,Alex Turner
ORD-109461,2024-12-04,2024-12-10,CU-11232,Kimberly Wilson,Consumer,United States,New York,New York City,East,PR-0025,Furniture,Tables,Round Meeting Table,125.18,1,0.4,-3.76,Second Class,Credit Card,Nina Petrova
ORD-102172,2024-07-14,2024-07-21,CU-11452,Michael Walker,Home Office,United States,Massachusetts,Boston,East,PR-0047,Office Supplies,Labels,Address Label Pack,43.0,1,0.0,16.88,Second Class,Cash on Delivery,Sofia Rossi
ORD-106451,2023-01-24,2023-01-27,CU-10421,George Clark,Corporate,United States,New Jersey,Newark,East,PR-0006,Technology,Computers,ProBook 15,3219.25,3,0.05,727.48,First Class,Cash on Delivery,Carlos Mendes
ORD-110439,2023-08-15,2023-08-17,CU-10581,Joseph Clark,Home Office,United States,Texas,Austin,Central,PR-0023,Furniture,Tables,Conference Table Oak,687.68,2,0.3,98.26,First Class,Bank Transfer,Liam O'Connor
ORD-108259,2022-08-05,2022-08-10,CU-10300,Joseph Lopez,Home Office,United States,Illinois,Springfield,Central,PR-0002,Technology,Phones,NovaPhone S8,4275.26,3,0.05,1009.84,Standard Class,PayPal,Sofia Rossi
ORD-109370,2025-12-11,2025-12-16,CU-10401,Michelle Wright,Home Office,United States,Oregon,Eugene,West,PR-0002,Technology,Phones,NovaPhone S8,1697.13,1,0.0,482.41,Second Class,Debit Card,Daniel Kim
ORD-107266,2023-03-08,2023-03-12,CU-11910,Andrew White,Home Office,United States,Georgia,Atlanta,South,PR-0023,Furniture,Tables,Conference Table Oak,1298.42,2,0.2,36.87,Same Day,Credit Card,Nina Petrova
ORD-105330,2025-11-22,2025-11-23,CU-12183,Charles Wright,Home Office,United States,Michigan,Ann Arbor,Central,PR-0017,Technology,Copiers,PrintMaster 200,1277.04,4,0.0,299.58,Standard Class,Debit Card,Priya Nair
ORD-109645,2024-12-13,2024-12-19,CU-10183,Michael Jones,Consumer,United States,New Jersey,Jersey City,East,PR-0036,Office Supplies,Paper,Sticky Notes Set,22.56,6,0.0,10.86,Standard Class,Credit Card,Sofia Rossi
ORD-102822,2022-07-25,2022-07-29,CU-12063,Kenneth Young,Corporate,United States,Washington,Seattle,West,PR-0013,Technology,Accessories,USB-C Hub,745.45,1,0.15,68.88,Standard Class,Cash on Delivery,Carlos Mendes
ORD-107664,2025-05-22,2025-05-28,CU-10928,John Perez,Home Office,United States,New York,Albany,East,PR-0009,Technology,Computers,UltraSlim Laptop,935.88,1,0.2,62.07,Second Class,PayPal,Carlos Mendes
ORD-105936,2023-02-01,2023-02-03,CU-10263,Kevin Clark,Corporate,United States,Michigan,Ann Arbor,Central,PR-0026,Furniture,Tables,Glass Office Desk,536.35,1,0.1,151.66,Standard Class,Bank Transfer,Maria Silva
ORD-111978,2024-08-02,2024-08-04,CU-11976,Mary Sanchez,Consumer,United States,Texas,Dallas,Central,PR-0044,Office Supplies,Art,Marker Set,188.26,2,0.15,52.83,First Class,Credit Card,Alex Turner
ORD-106094,2022-09-05,2022-09-09,CU-10002,Jessica Anderson,Consumer,United States,Tennessee,Memphis,South,PR-0043,Office Supplies,Storage,File Sorter,74.36,2,0.0,33.12,Standard Class,Cash on Delivery,Carlos Mendes
ORD-106701,2024-04-05,2024-04-07,CU-10643,Charles Anderson,Home Office,United States,Pennsylvania,Philadelphia,East,PR-0015,Technology,Accessories,Bluetooth Speaker,136.39,1,0.2,4.25,Same Day,Bank Transfer,Grace Okafor
ORD-108139,2024-01-10,2024-01-11,CU-11110,Karen Hernandez,Consumer,United States,Ohio,Columbus,Central,PR-0032,Furniture,Furnishings,Wall Clock,2163.6,2,0.0,687.94,Standard Class,Debit Card,Daniel Kim
ORD-104834,2025-07-22,2025-07-23,CU-11078,Amanda Lewis,Consumer,United States,Michigan,Ann Arbor,Central,PR-0020,Furniture,Chairs,MeshBack Office Chair,1929.42,3,0.05,521.55,Second Class,Credit Card,Ethan Wu
ORD-102427,2024-05-16,2024-05-21,CU-10221,Kevin Miller,Consumer,United States,Washington,Seattle,West,PR-0009,Technology,Computers,UltraSlim Laptop,3273.62,3,0.1,493.87,Second Class,Bank Transfer,Sofia Rossi
ORD-101389,2024-11-09,2024-11-15,CU-11642,Elizabeth Thompson,Corporate,United States,New Jersey,Newark,East,PR-0046,Office Supplies,Art,Whiteboard Markers,62.16,1,0.0,32.21,Standard Class,Bank Transfer,Priya Nair
ORD-103324,2024-04-02,2024-04-05,CU-12007,Emily Walker,Consumer,United States,Michigan,Detroit,Central,PR-0036,Office Supplies,Paper,Sticky Notes Set,83.45,3,0.05,29.69,First Class,Debit Card,Sofia Rossi
ORD-103984,2022-05-21,2022-05-22,CU-10023,Joshua Taylor,Consumer,United States,Michigan,Detroit,Central,PR-0043,Office Supplies,Storage,File Sorter,553.5,7,0.2,192.41,Standard Class,Cash on Delivery,Nina Petrova
ORD-111164,2024-12-06,2024-12-13,CU-10656,William Wright,Corporate,United States,North Carolina,Raleigh,South,PR-0019,Furniture,Chairs,ErgoChair Deluxe,569.23,1,0.0,185.26,Standard Class,Credit Card,Nina Petrova
ORD-108024,2023-10-01,2023-10-05,CU-11875,Kevin Lopez,Corporate,United States,Washington,Seattle,West,PR-0011,Technology,Accessories,Wireless Mouse,1128.64,1,0.05,196.77,Second Class,Credit Card,Sofia Rossi
ORD-103616,2024-12-22,2024-12-28,CU-10175,Susan Lee,Consumer,United States,North Carolina,Charlotte,South,PR-0038,Office Supplies,Binders,3-Ring Binder,27.04,1,0.4,1.72,Second Class,Cash on Delivery,Maria Silva
ORD-107268,2023-07-17,2023-07-21,CU-10607,Mark Hernandez,Home Office,United States,Texas,Dallas,Central,PR-0008,Technology,Computers,GameStation Tower,1073.88,3,0.2,-31.13,Standard Class,Bank Transfer,Ethan Wu
ORD-110128,2022-01-16,2022-01-19,CU-10187,Robert Thomas,Consumer,United States,Texas,Austin,Central,PR-0027,Furniture,Bookcases,5-Shelf Bookcase,915.53,2,0.05,203.77,Standard Class,Bank Transfer,Sofia Rossi
ORD-106757,2023-09-22,2023-09-27,CU-11936,Michael Wilson,Consumer,United States,Tennessee,Nashville,South,PR-0033,Furniture,Furnishings,Filing Cabinet,428.79,1,0.0,181.78,Standard Class,PayPal,Grace Okafor
ORD-107002,2025-06-22,2025-06-23,CU-10514,Mary Garcia,Home Office,United States,Washington,Spokane,West,PR-0025,Furniture,Tables,Round Meeting Table,1370.75,2,0.1,302.76,Same Day,Bank Transfer,Carlos Mendes
ORD-104745,2022-06-27,2022-06-28,CU-12053,Mary Martinez,Consumer,United States,Illinois,Springfield,Central,PR-0018,Technology,Copiers,ScanPro Duo,2127.72,3,0.0,598.27,Standard Class,Cash on Delivery,Grace Okafor
ORD-108859,2022-05-17,2022-05-22,CU-10765,Melissa White,Corporate,United States,Pennsylvania,Philadelphia,East,PR-0011,Technology,Accessories,Wireless Mouse,1864.15,4,0.1,372.83,First Class,Debit Card,Priya Nair
ORD-111195,2023-05-11,2023-05-15,CU-11916,Sandra Jackson,Home Office,United States,Oregon,Eugene,West,PR-0039,Office Supplies,Binders,Report Cover Binder,199.46,3,0.3,37.5,Standard Class,PayPal,Maria Silva
ORD-110939,2023-03-15,2023-03-16,CU-10838,Betty Clark,Home Office,United States,Texas,Dallas,Central,PR-0046,Office Supplies,Art,Whiteboard Markers,225.75,3,0.05,87.15,Standard Class,Bank Transfer,Sofia Rossi
ORD-104463,2024-06-13,2024-06-20,CU-12153,Donald Martin,Home Office,United States,New York,Buffalo,East,PR-0005,Technology,Phones,Aria Smartphone,967.24,2,0.4,-237.14,Standard Class,PayPal,Liam O'Connor
ORD-103414,2024-05-06,2024-05-10,CU-10827,Barbara Rodriguez,Corporate,United States,California,Los Angeles,West,PR-0029,Furniture,Bookcases,Modern Ladder Shelf,761.12,4,0.3,68.98,Second Class,Cash on Delivery,Carlos Mendes
ORD-107964,2024-05-27,2024-05-31,CU-10963,Matthew Garcia,Home Office,United States,Florida,Orlando,South,PR-0002,Technology,Phones,NovaPhone S8,1214.24,1,0.1,221.78,First Class,Debit Card,Priya Nair
ORD-103572,2023-04-04,2023-04-06,CU-11294,Richard Davis,Consumer,United States,Ohio,Columbus,Central,PR-0045,Office Supplies,Art,Highlighter Pack,88.54,1,0.0,42.8,Standard Class,PayPal,Priya Nair
ORD-107251,2023-06-02,2023-06-09,CU-11049,Lisa Allen,Consumer,United States,New York,Buffalo,East,PR-0029,Furniture,Bookcases,Modern Ladder Shelf,3389.0,5,0.0,1321.14,Standard Class,Cash on Delivery,Nina Petrova
ORD-102170,2025-08-14,2025-08-15,CU-11926,Ashley Gonzalez,Consumer,United States,Ohio,Cleveland,Central,PR-0021,Furniture,Chairs,Executive Leather Chair,1757.9,2,0.2,97.41,Second Class,PayPal,Liam O'Connor
ORD-102721,2024-02-13,2024-02-20,CU-11692,Linda Lopez,Consumer,United States,Oregon,Portland,West,PR-0010,Technology,Computers,WorkStation Elite,2177.36,4,0.15,177.54,Second Class,Bank Transfer,Maria Silva
ORD-101969,2025-07-21,2025-07-28,CU-12073,Brian Torres,Home Office,United States,New Jersey,Newark,East,PR-0020,Furniture,Chairs,MeshBack Office Chair,2156.16,3,0.0,836.4,First Class,Debit Card,Grace Okafor
ORD-105678,2025-06-12,2025-06-15,CU-12065,Barbara Scott,Consumer,United States,Oregon,Eugene,West,PR-0014,Technology,Accessories,Laptop Stand,2630.67,3,0.0,358.53,Standard Class,Debit Card,Carlos Mendes
ORD-104667,2024-09-06,2024-09-08,CU-10454,John Brown,Consumer,United States,Nevada,Reno,West,PR-0027,Furniture,Bookcases,5-Shelf Bookcase,940.14,2,0.0,281.46,Standard Class,Debit Card,Ethan Wu
ORD-105719,2023-04-06,2023-04-08,CU-10767,Patricia Nguyen,Corporate,United States,Texas,Houston,Central,PR-0033,Furniture,Furnishings,Filing Cabinet,1826.65,5,0.0,632.06,Same Day,Cash on Delivery,Priya Nair
ORD-110193,2022-04-06,2022-04-13,CU-11441,Melissa Walker,Home Office,United States,Massachusetts,Boston,East,PR-0048,Office Supplies,Labels,Shipping Label Roll,,1,0.2,7.58,Standard Class,PayPal,Liam O'Connor
ORD-111421,2024-08-24,2024-08-26,CU-11767,Christopher Nguyen,Corporate,United States,North Carolina,Charlotte,South,PR-0022,Furniture,Chairs,Task Chair Basic,709.2,2,0.0,190.42,Standard Class,PayPal,Grace Okafor
ORD-101593,2022-03-31,2022-04-05,CU-10484,Thomas Garcia,Home Office,United States,New Jersey,Newark,East,PR-0010,Technology,Computers,WorkStation Elite,1459.02,2,0.0,451.12,Standard Class,Debit Card,Sofia Rossi
ORD-110144,2022-12-09,2022-12-11,CU-11159,Andrew Lee,Consumer,United States,New York,New York City,East,PR-0016,Technology,Copiers,OfficeCopier 4000,5025.8,4,0.05,730.83,Second Class,Debit Card,Liam O'Connor
ORD-107349,2024-03-23,2024-03-25,CU-11501,Lisa Sanchez,Corporate,United States,Michigan,Detroit,Central,PR-0024,Furniture,Tables,Standing Desk Pro,535.46,1,0.4,-105.87,Second Class,PayPal,Grace Okafor
ORD-106161,2022-10-23,2022-10-28,CU-10077,Linda Jackson,Consumer,United States,Oregon,Portland,West,PR-0003,Technology,Phones,ZenPhone Lite,931.59,1,0.0,208.25,Standard Class,Debit Card,Grace Okafor
ORD-101448,2023-04-07,2023-04-10,CU-11177,Lisa Williams,Consumer,United States,Georgia,Atlanta,South,PR-0034,Office Supplies,Paper,Premium Copy Paper,166.82,2,0.1,51.93,Standard Class,Credit Card,Carlos Mendes
ORD-109607,2022-07-14,2022-07-17,CU-11009,,Home Office,United States,California,San Diego,West,PR-0029,Furniture,Bookcases,Modern Ladder Shelf,3356.28,3,0.0,1147.4,Standard Class,Bank Transfer,Daniel Kim
ORD-108890,2022-06-18,2022-06-23,CU-11861,Elizabeth Moore,Consumer,United States,Nevada,Reno,West,PR-0031,Furniture,Furnishings,Office Rug,2456.3,4,0.15,311.5,First Class,Debit Card,Sofia Rossi
ORD-101589,2023-05-15,2023-05-20,CU-11115,Thomas Gonzalez,Consumer,United States,Tennessee,Memphis,South,PR-0009,Technology,Computers,UltraSlim Laptop,2921.8,5,0.0,651.72,Standard Class,Cash on Delivery,Carlos Mendes
ORD-108604,2022-07-20,2022-07-24,CU-11906,Joseph Lee,Consumer,United States,Massachusetts,Worcester,East,PR-0040,Office Supplies,Binders,Presentation Binder,250.98,3,0.0,120.23,Second Class,Bank Transfer,Alex Turner
ORD-109015,2022-02-27,2022-03-01,CU-10904,Charles Taylor,Corporate,United States,Ohio,Cleveland,Central,PR-0020,Furniture,Chairs,MeshBack Office Chair,759.62,1,0.2,129.79,Standard Class,Debit Card,Maria Silva
ORD-108032,2025-08-14,2025-08-21,CU-10504,Charles Lewis,Consumer,United States,Georgia,Atlanta,South,PR-0001,Technology,Phones,UltraPhone X12,1213.82,1,0.2,236.86,Standard Class,Cash on Delivery,Grace Okafor
ORD-111952,2025-09-25,2025-09-28,CU-11663,Margaret Robinson,Consumer,United States,Massachusetts,Worcester,East,PR-0042,Office Supplies,Storage,Desk Organizer,16.42,4,0.05,6.29,Second Class,Credit Card,Maria Silva
ORD-106469,2024-02-17,2024-02-24,CU-11514,Kimberly Williams,Consumer,United States,Oregon,Portland,West,PR-0016,Technology,Copiers,OfficeCopier 4000,5714.0,4,0.0,827.46,Second Class,Bank Transfer,Daniel Kim
ORD-106241,2023-11-16,2023-11-17,CU-11299,James Perez,Home Office,United States,Nevada,Las Vegas,West,PR-0048,Office Supplies,Labels,Shipping Label Roll,113.51,1,0.05,38.64,Standard Class,Debit Card,Grace Okafor
ORD-103037,2022-09-17,2022-09-19,CU-10255,James King,Corporate,United States,North Carolina,Charlotte,South,PR-0048,Office Supplies,Labels,Shipping Label Roll,26.35,1,0.0,12.41,Same Day,PayPal,Carlos Mendes
ORD-102701,2025-09-14,2025-09-19,CU-10103,Susan Wright,Consumer,United States,California,Los Angeles,West,PR-0035,Office Supplies,Paper,Recycled Notebook Pack,344.36,8,0.05,119.56,Second Class,Credit Card,Priya Nair
ORD-101140,2022-11-20,2022-11-25,CU-12046,Joshua Anderson,Corporate,United States,Illinois,Springfield,Central,PR-0036,Office Supplies,Paper,Sticky Notes Set,462.18,6,0.0,195.91,Second Class,Bank Transfer,Maria Silva
ORD-106442,2024-01-02,2024-01-04,CU-10645,Joseph Gonzalez,Consumer,United States,Massachusetts,Worcester,East,PR-0048,Office Supplies,Labels,Shipping Label Roll,112.12,1,0.0,44.04,Same Day,PayPal,Priya Nair
ORD-107248,2023-08-16,2023-08-17,CU-10599,Matthew Lee,Consumer,United States,California,San Francisco,West,PR-0043,Office Supplies,Storage,File Sorter,120.9,2,0.0,60.86,Second Class,Credit Card,Priya Nair
ORD-104840,2022-08-16,2022-08-22,CU-10562,Sandra Scott,Consumer,United States,North Carolina,Charlotte,South,PR-0016,Technology,Copiers,OfficeCopier 4000,8498.66,7,0.3,-941.08,Second Class,Bank Transfer,Maria Silva
ORD-103433,2022-09-01,2022-09-05,CU-10063,Steven Young,Corporate,United States,Georgia,Savannah,South,PR-0007,Technology,Computers,AirLight 13,870.2,2,0.15,-10.7,Standard Class,Bank Transfer,Priya Nair
ORD-103038,2022-04-23,2022-04-25,CU-12123,Elizabeth Brown,Corporate,United States,North Carolina,Charlotte,South,PR-0041,Office Supplies,Storage,Storage Box Set,26.71,4,0.1,12.34,Standard Class,Bank Transfer,Carlos Mendes
ORD-103452,2022-12-23,2022-12-27,CU-10753,Margaret Lewis,Corporate,United States,Michigan,Ann Arbor,Central,PR-0048,Office Supplies,Labels,Shipping Label Roll,43.04,2,0.0,14.55,First Class,Debit Card,Alex Turner
ORD-107328,2024-07-04,2024-07-11,CU-10607,Mark Hernandez,Consumer,United States,Ohio,Columbus,Central,PR-0022,Furniture,Chairs,Task Chair Basic,313.33,3,0.1,33.89,First Class,Credit Card,Sofia Rossi
ORD-110333,2024-01-15,2024-01-22,CU-11868,Karen Ramirez,Corporate,United States,Oregon,Portland,West,PR-0031,Furniture,Furnishings,Office Rug,791.3,1,0.05,210.62,Second Class,Cash on Delivery,Carlos Mendes
ORD-100997,2022-07-01,2022-07-06,CU-10939,Joseph Wright,Home Office,United States,Massachusetts,Worcester,East,PR-0023,Furniture,Tables,Conference Table Oak,1679.94,4,0.1,385.58,Standard Class,Credit Card,Maria Silva
ORD-101178,2025-03-09,2025-03-14,CU-11743,Andrew Thompson,Home Office,United States,Washington,Seattle,West,PR-0020,Furniture,Chairs,MeshBack Office Chair,3758.96,8,0.0,1017.05,Second Class,Debit Card,Grace Okafor
ORD-110365,2022-04-13,2022-04-17,CU-10595,Thomas Perez,Corporate,United States,Massachusetts,Boston,East,PR-0038,Office Supplies,Binders,3-Ring Binder,62.88,1,0.2,19.84,Standard Class,Credit Card,Nina Petrova
ORD-105577,2022-02-21,2022-02-23,CU-10708,William Torres,Consumer,United States,Texas,Dallas,Central,PR-0015,Technology,Accessories,Bluetooth Speaker,3463.02,6,0.0,1061.42,Same Day,PayPal,Alex Turner
ORD-111389,2023-05-13,2023-05-14,CU-10879,Michelle Hill,Consumer,United States,Pennsylvania,Philadelphia,East,PR-0001,Technology,Phones,UltraPhone X12,1973.32,2,0.05,321.05,Second Class,Credit Card,Nina Petrova
